title,rank,description,image,projectedJobs,medianSalary,hourlyWage,rent,educationNeeded,link,questionShift,questionIncome,questionTech,questionHealth,questionOralCare,questionEducationNeeded,questionPeople,questionSubject,questionPriority,questionWhere,questionEnvironment,questionHands
Industrial Psychologist,46,"Industrial psychologists aim to find solutions for organizations after evaluating the problems the organization faces. These professionals typically run their own small businesses and work for consulting firms, corporations, hospitals and the government.",https://www.usnews.com/dims4/USNEWS/7983b0b/2147483647/crop/2583x2583%2B1191%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F53%2Fb9%2F18b1552648838778be5928fe1f0d%2F151105-stock.jpg,200,"$97,260",$47,"$1,824",Master's,https://money.usnews.com/careers/best-jobs/industrial-psychologist,daytime,house,false,false,false,advanced,true,englishHistory,money,differentOutdoors,false,false
Podiatrist,47,"If a medical professional is treating or operating on your feet, ankles or lower legs, they most likely are a podiatrist. A podiatrist’s responsibilities include assessing the patient’s lower extremities, diagnosing problems, performing surgeries and prescribing medications.",https://www.usnews.com/dims4/USNEWS/28324d7/2147483647/crop/1416x1416%2B262%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F10%2F71%2F64abee824a78862164f254c9331e%2F181031-podiatrist-stock.jpg,600,"$129,550",$62,"$2,429",Doctorate,https://money.usnews.com/careers/best-jobs/podiatrist,daytime,boatVacation,true,true,false,advanced,true,mathScience,money,govMedStore,false,true
Environmental Engineer,48,"Environmental engineers combine knowledge of engineering, soil science, biology and chemistry to solve environmental problems. A huge part of the job is working to improve recycling, waste disposal, public health, water and air pollution control.",https://www.usnews.com/dims4/USNEWS/4cd6dc6/2147483647/crop/667x667%2B194%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F47%2Fa8%2F23c9d76744b2bb061f91860c318d%2F160120-enviroengjpg-stock.jpg,"2,900","$87,620",$42,"$1,643",Bachelor's,https://money.usnews.com/careers/best-jobs/environmental-engineer,daytime,house,true,false,false,bachelors,false,techShop,money,office,true,true
Social and Community Service Manager,49,"A profession that takes commitment and passion, social and community service management involves working with specific groups or communities to address issues.",https://www.usnews.com/dims4/USNEWS/e00a3f9/2147483647/crop/565x565%2B139%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff6%2F99%2F4b22849e419b9852f1f3f98f793a%2F141008socialworkerwithtablet-stock.jpg,"21,900","$65,320",$31,"$1,225",Bachelor's,https://money.usnews.com/careers/best-jobs/social-and-community-service-manager,daytime,car,false,false,false,bachelors,true,englishHistory,helpingLeastSchool,office,true,false
Lawyer,50,"While not all legal proceedings resemble a scene from “Law & Order,” law is still an exciting profession. Lawyers both advise and represent clients in settings ranging from courts to government agency buildings. Lawyers also research and analyze legal issues; interpret laws, rulings and regulations; and present facts and argue on behalf of clients. ",https://www.usnews.com/dims4/USNEWS/409090b/2147483647/crop/800x800%2B53%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F44%2Fea%2F23c012f44f7f972a67ff32c64471%2F160113-lawyecourtroom-stock.jpg,"50,100","$120,910",$58,"$2,267",Doctorate,https://money.usnews.com/careers/best-jobs/lawyer,daytime,boatVacation,false,false,false,advanced,true,englishHistory,money,office,false,false
Marriage and Family Therapist,51,"Many people can develop problems relating to their spouse, partner, children  or other family members. When these issues occur, marriage and family therapists can often be a source of support and conflict resolution.",https://www.usnews.com/dims4/USNEWS/6f007a9/2147483647/crop/283x283%2B91%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd3%2F4fa3334892a382a827bae15cabd068%2Fjobs-job-photo-91.jpg,"12,300","$50,090",$24,$939,Master's,https://money.usnews.com/careers/best-jobs/marriage-and-family-therapist,varies,car,true,false,false,advanced,true,englishHistory,helpingLeastSchool,office,false,false
Medical Assistant,52,"During most medical exams, a physician or specialist isn’t the only person you’ll see. A medical assistant measures your vital signs, administers injections or medications and schedules appointments. These professionals also prepare blood samples for lab tests, record your patient history and enter your information in your medical records.",https://www.usnews.com/dims4/USNEWS/b01ca8a/2147483647/crop/279x279%2B41%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F47cf722beaf0e58e336553a5914f37%2Fjobs-job-photo-45.jpg,"154,900","$33,610",$16,$630,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/medical-assistant,varies,car,true,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,govMedStore,false,true
Computer Systems Analyst,53,Computer systems analysts must have a diverse skill set. The position requires information technology and business knowledge. These analysts custom design computer systems and processes for clients.,https://www.usnews.com/dims4/USNEWS/ec2fa2a/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fef%2F0a%2F7f0d54e74d918412151f2059ad3d%2F180104-computers-stock.jpg,"56,000","$88,740",$43,"$1,664",Bachelor's,https://money.usnews.com/careers/best-jobs/computer-systems-analyst,daytime,house,true,false,false,bachelors,false,techShop,money,office,false,false
Actuary,54,"Are you more of a risk calculator than a risk taker? Consider working as an actuary. These professionals are experts in uncertainty, using mathScienceematics, statistics and financial theory to measure, manage and mitigate financial risk.",https://www.usnews.com/dims4/USNEWS/72ca306/2147483647/crop/2583x2583%2B506%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0d%2Ff9%2Fd74dd59d4735b77a78489e3b8fc8%2Factuary.jpg,"5,000","$102,880",$49,"$1,929",Bachelor's,https://money.usnews.com/careers/best-jobs/actuary,daytime,boatVacation,false,false,false,bachelors,false,mathScience,jobLike,office,false,false
Medical Records Technician,55,"Medical records technicians are extremely detail-oriented professionals who use information from medical records to assign diagnosis and procedure codes. Their work is essential for patients’ reimbursement claims, research and tracking and monitoring disease patterns.",https://www.usnews.com/dims4/USNEWS/18185dc/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F42%2Fac%2F18cc654f49ec8497ad0a2394432a%2Fmedical-records-technician.jpg,"23,100","$40,350",$19,$757,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/medical-records-technician,daytime,car,false,false,false,twoYearsOrFewer,false,englishHistory,jobLike,govMedStore,false,false
Prosthodontist,56,Prosthodontists are essentially responsible for repairing and restoring people’s smiles. These dental professionals improve and replace teeth.,https://www.usnews.com/dims4/USNEWS/d52ad79/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8a%2Fa4%2Fc9b3d9654b48885fbfed11b42a2e%2F151105-stock.jpg,0,"$176,540",$85,"$3,310",Doctorate,https://money.usnews.com/careers/best-jobs/prosthodontist,daytime,boatVacation,true,true,true,twoYearsOrFewer,false,mathScience,money,govMedStore,false,true
Construction Manager,57,"Construction managers help plan projects, estimate cost, team-up with laborers during the production stage and more.",https://www.usnews.com/dims4/USNEWS/0849eef/2147483647/crop/283x283%2B142%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa6%2Fc36968a0085ea86fb786db46d16eb8%2Fjobs-job-photo-68.jpg,"46,200","$93,370",$45,"$1,751",Bachelor's,https://money.usnews.com/careers/best-jobs/construction-manager,daytime,house,true,false,false,bachelors,true,techShop,helpingLeastSchool,differentOutdoors,false,true
Veterinary Technologist and Technician,58,"This job is not necessarily glamorous, but your commitment to animals is a must. Veterinary technologists and technicians might handle such responsibilities as lab work or surgery assistance.",https://www.usnews.com/dims4/USNEWS/a4958bf/2147483647/crop/278x278%2B58%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa0%2Fd3607641760b34d4facf6d706bbfdc%2Fjobs-job-photo-97.jpg,"21,100","$34,420",$17,$645,Associate's,https://money.usnews.com/careers/best-jobs/veterinary-technologist-and-technician,varies,car,true,true,false,twoYearsOrFewer,false,techShop,jobLike,differentOutdoors,false,true
Landscaper and Groundskeeper,59,"Landscapers plant trees, shrubs and flowers; fertilize plants; and construct outdoor walkways, patios and fences to surround their handiwork. Groundskeepers might also garden and plant, but they also paint fences, clean swimming pools, shovel snow and handle refuse removal.",https://www.usnews.com/dims4/USNEWS/b8d31ce/2147483647/crop/1335x1335%2B610%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc9%2F5a%2F2faf1a2a4077ad46f2c6c3b5e357%2F190219-landscaper-stock.jpg,"106,400","$29,000",$14,$544,Not required,https://money.usnews.com/careers/best-jobs/landscaper-and-groundskeeper,varies,car,false,false,false,twoYearsOrFewer,false,techShop,helpingLeastSchool,differentOutdoors,true,true
Computer Network Architect,60,"If you've ever saved something to the cloud, then you've depended on the handiwork of a computer network architect. These professionals design, build and maintain a variety of data communication networks, from expansive cloud infrastructures to smaller intranets.",https://www.usnews.com/dims4/USNEWS/fc451e8/2147483647/crop/1335x1335%2B342%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F58%2Fbc%2F3ab48f23404688889b802115644c%2F180625-computernetworkarchitect-stock.jpg,"8,400","$109,020",$52,"$2,044",Bachelor's,https://money.usnews.com/careers/best-jobs/computer-network-architect,daytime,boatVacation,true,false,false,bachelors,false,techShop,jobLike,office,false,false
Orthotist and Prosthetist,61,"Orthotists and prosthetists are the designers behind artificial limbs, including arms, hands, legs and feet, as well as body braces and other medical and surgical devices. Also known as O&P professionals, they work directly with patients in order to design and fit the devices, and instruct them on use.",https://www.usnews.com/dims4/USNEWS/9a96e97/2147483647/crop/667x667%2B141%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F24%2F40%2F5e438b454015bb439b0a4ba7c842%2F150619-jobprofileorthotistandprosthetist-stock.jpg,"1,800","$69,120",$33,"$1,296",Master's,https://money.usnews.com/careers/best-jobs/orthotist-and-prosthetist,daytime,car,true,true,false,advanced,true,mathScience,helpingLeastSchool,govMedStore,false,true
Personal Care Aide,62,"Compassion is the top asset for those interested in being a personal care aide. These professionals assist people with physical and mental disabilities and chronic illness, and perform non-medical daily tasks.",https://www.usnews.com/dims4/USNEWS/e5dec9d/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F62%2F758715985e236d15dc27ab90281da1%2Fjobs-job-photo-63.jpg,"881,000","$24,020",$12,$450,High School,https://money.usnews.com/careers/best-jobs/personal-care-aide,varies,car,false ,true,false,twoYearsOrFewer,true,mathScience,helpingLeastSchool,differentOutdoors,false,true
Computer Systems Administrator,63,Computer systems administrators perform duties ranging from identifying and fixing network issues to updating equipment and software.,https://www.usnews.com/dims4/USNEWS/b86acdc/2147483647/crop/1334x1334%2B369%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8c%2F25%2F787e29fe48da91350b02fc5cc539%2F190219-computersystemsadministrator-stock.jpg,"18,200","$82,050",$39,"$1,538",Bachelor's,https://money.usnews.com/careers/best-jobs/network-and-computer-systems-administrator,daytime,house,true,false,false,bachelors,false,techShop,money,office,false,false
Massage Therapist,64,"Nothing is as relaxing as a good massage. But massage therapists aren’t just responsible for helping people luxuriate or relieve stress. They also provide relief from painful medical conditions, heal injuries and improve circulation. ",https://www.usnews.com/dims4/USNEWS/7054ac8/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd4%2F7101860af404220fe2562e616918be%2Fjobs-job-photo-50.jpg,"35,400","$41,420",$20,$777,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/massage-therapist,varies,car,false,false,false,twoYearsOrFewer,true,techShop,jobLike,differentOutdoors,false,true
Cartographer,65,"A modern road trip may not include nearly as many paper maps as it used to, but cartographers, who are map artists in a sense, are still in demand as online maps and GPS technologies continue to change and develop.",https://www.usnews.com/dims4/USNEWS/a8768ca/2147483647/crop/1335x1335%2B400%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F45%2F55%2Fc99bf5d44e9a886ffc76fe2002fb%2F151030-cartographer-stock.jpg,"1,700","$64,430",$31,"$1,208",Bachelor's,https://money.usnews.com/careers/best-jobs/cartographer,varies,car,true,false,false,bachelors,false,englishHistory,jobLike,office,false,false
Dental Assistant,66,"Dental assistants prepare patients for treatments and teeth cleanings, sterilize instruments and assist dentists during procedures.",https://www.usnews.com/dims4/USNEWS/5ce6db2/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Feb%2Fbeb9892f683cdc3d59b5ef01328171%2Fjobs-job-photo-56.jpg,"38,700","$38,660",$19,$725,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/dental-assistant,daytime,car,true,true,true,twoYearsOrFewer,true,techShop,jobLike,govMedStore,false,true
Management Analyst,67,"Time really is money. Management analysts work with companies to improve overall efficiency, proposing plans to increase profitability, reduce costs and increase revenue.",https://www.usnews.com/dims4/USNEWS/c6cdb7b/2147483647/crop/278x278%2B75%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa9%2F88db11ae192ec408cc76f79bd05898%2Fjobs-job-photo-27.jpg,"118,300","$83,610",$40,"$1,568",Bachelor's,https://money.usnews.com/careers/best-jobs/management-analyst,daytime,house,false,false,false,bachelors,false,englishHistory,money,office,false,false
Solar Photovoltaic Installer,68,"Solar photovoltaic installers put together, implement and maintain solar panels on the rooftops of homes and other buildings.",https://www.usnews.com/dims4/USNEWS/0cd4da7/2147483647/crop/665x665%2B334%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F31%2Fc5feb76c43c383ebfea93775baef%2F170110-stock.jpg,"6,100","$42,680",$21,$800,High School,https://money.usnews.com/careers/best-jobs/solar-photovoltaic-installer,varies,car,true,false,false,twoYearsOrFewer,false,techShop,helpingLeastSchool,differentOutdoors,true,true
Physical Therapist Aide,69,"Physical therapist aides support physical therapists, professionals who assist injured or ill people with movement and pain. Aides set up treatment areas and therapy equipment, assist patients as they move to and from therapy areas and perform clerical duties.",https://www.usnews.com/dims4/USNEWS/b5748fc/2147483647/crop/801x801%2B398%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F40%2F38%2F53d7feb14bc8ab4d53d7bd451874%2F150615-jobprofilephysicaltherapyaide-stock.jpg,"11,300","$26,240",$13,$492,High School,https://money.usnews.com/careers/best-jobs/physical-therapy-aide,varies,car,true,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,govMedStore,false,true
Occupational Therapy Assistant,70,"Occupational therapists rely on occupational therapy assistants to help patients with therapeutic activities and exercises, teach patients to use special equipment and record patients’ progress in their treatment.",https://www.usnews.com/dims4/USNEWS/11cb027/2147483647/crop/333x333%2B54%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb0%2F017af6e2e0456b779cf98a24779401%2Fjobs-job-photo-117.jpg,"14,500","$60,220",$29,"$1,129",Associate's,https://money.usnews.com/careers/best-jobs/occupational-therapy-assistant,varies,car,true,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,differentOutdoors,false,true
Mental Health Counselor,71,"Maintaining good mental health is just as important in day-to-day life as maintaining good physical health. Mental health counselors help people cope with and beat things like depression, stress and anxiety. ",https://www.usnews.com/dims4/USNEWS/4c62a00/2147483647/crop/278x278%2B85%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F74%2Fb71d093c53d36621caff0bd988691b%2Fjobs-job-photo-89.jpg,"22,300","$44,840",$22,$841,Master's,https://money.usnews.com/careers/best-jobs/mental-health-counselor,daytime,car,true,false,false,advanced,true,englishHistory,jobLike,office,false,false
Environmental Engineering Technician,72,"Environmental engineering technician positions are ideal for team-oriented workers, as these professionals collaborate with other technicians and engineers to develop plans and create devices to reduce environmental pollution.",https://www.usnews.com/dims4/USNEWS/94de9f6/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2F0d%2F76dfbf18483a856f854bd0f1cde8%2Fenvironmental-engineering-technician.jpg,"1,500","$50,560",$24,$948,Associate's,https://money.usnews.com/careers/best-jobs/environmental-engineering-technician,varies,car,true,false,false,twoYearsOrFewer,false,techShop,jobLike,office,true,false
Nail Technician,73,"No day at the spa is complete without a mani-pedi, and a good one requires the work of a skilled nail technician. These professionals clean, trim and shape your nails, remove dead skin and calluses on your feet, massage your hands and paint your nails. ",https://www.usnews.com/dims4/USNEWS/146c684/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ffe%2F6b2988cd47d84ecae5217d4445381a%2Fjobs-job-photo-131.jpg,"15,700","$24,330",$12,$456,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/nail-technician,varies,car,false,true,false,twoYearsOrFewer,true,mathScience,jobLike,govMedStore,false,true
Plumber,74,Plumbers also plan and develop blueprints for new structures or those being refurbished.,https://www.usnews.com/dims4/USNEWS/22e2b0d/2147483647/crop/332x332%2B78%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5e%2Faca582621d55e9d339c9dfcc78965c%2Fjobs-job-photo-71.jpg,"68,200","$53,910",$26,"$1,011",High School,https://money.usnews.com/careers/best-jobs/plumber,varies,car,true,true,false,twoYearsOrFewer,false,techShop,jobLike,differentOutdoors,false,true
Radiologic Technologist,75,"Radiologic technologists are on their feet much of the day, assisting radiologists by taking medical images and giving radiation therapy treatments.",https://www.usnews.com/dims4/USNEWS/b2d5191/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc9%2F5552771ad7ab70dee131af6c96a72d%2Fjobs-job-photo-66.jpg,"19,000","$59,520",$29,"$1,116",Associate's,https://money.usnews.com/careers/best-jobs/radiologic-technologist,varies,car,true,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,govMedStore,false,true
MRI Technologist,76,"Anyone who has ever spent time in the big tube in an MRI machine had a capable MRI technologist to ease them through the process. These professionals run the MRI scanner to obtain images of what's going on inside your body, and they might inject you with dyes to help the physician better see a potential problem.",https://www.usnews.com/dims4/USNEWS/fd52bc2/2147483647/crop/2582x2582%2B1283%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F89%2F36%2F7b562c61471bb22f3a7c48ce3505%2F151023-best-jobs-mritechnologist-stock.jpg,"4,300","$71,670",$34,"$1,344",Associate's,https://money.usnews.com/careers/best-jobs/mri-technologist,varies,car,true,true,false,twoYearsOrFewer,true,techShop,money,govMedStore,false,true
Chiropractor,77,"From temporary back injuries to pain caused by chronic illness, chiropractors are trained to treat the musculoskeletal system without drugs or surgery.",https://www.usnews.com/dims4/USNEWS/1c3c301/2147483647/crop/667x667%2B329%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2Fe3%2Fd9bc068a4cbca28cb7e99488688f%2F160120-chirojpg-stock.jpg,"3,700","$71,410",$34,"$1,339",Doctorate,https://money.usnews.com/careers/best-jobs/chiropractor,varies,car,true,true,false,advanced,true,mathScience,helpingLeastSchool,govMedStore,false,true
Cost Estimator,78,"From the cost of your cell phone to that of government programs, cost estimators analyze how much products and services should cost. Cost estimators also analyze the current cost of something, in addition to why a product or service costs more or less than previous estimates determined.",https://www.usnews.com/dims4/USNEWS/7b723ce/2147483647/crop/279x279%2B49%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F83%2Fa193a787b4877f0af6c0623d4de502%2Fjobs-job-photo-70.jpg,"18,700","$64,040",$31,"$1,201",Bachelor's,https://money.usnews.com/careers/best-jobs/cost-estimator,daytime,car,false,false,false,bachelors,false,mathScience,jobLike,office,false,false
Financial Analyst,79,"Buy? Sell? It’s a financial analyst’s job to recommend what clients should do with their investments, in addition to compiling reports that explain their investment analyses.",https://www.usnews.com/dims4/USNEWS/7f5cb41/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0d%2Fbc26657f6ea13ccdd50d2622bf53e2%2Fjobs-job-photo-25.jpg,"20,300","$85,660",$41,"$1,606",Bachelor's,https://money.usnews.com/careers/best-jobs/financial-analyst,daytime,house,false,false,false,bachelors,false,mathScience,money,office,false,false
Insurance Sales Agent,80,Insurance sales agents are the go-to source for the differentOutdoors insurance policies that are available. These agents typically contact potential customers in order to sell various insurance types.,https://www.usnews.com/dims4/USNEWS/32e8ee0/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6c%2F12%2F55d011204fc2b82d794a347e7143%2Fjobs-job-photo-24jpg.jpg,"48,300","$50,600",$24,$949,Bachelor's,https://money.usnews.com/careers/best-jobs/insurance-agent,daytime,car,false,false,false,twoYearsOrFewer,true,englishHistory,helpingLeastSchool,office,false,false
School Counselor,81,"This can be one of the most gratifying professions, as school counselors see students move forward in life and achieve great things. The necessary training varies by state, however, most hold a master’s degree.",https://www.usnews.com/dims4/USNEWS/f742d20/2147483647/crop/283x283%2B142%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2Fe37ddf2d19f68b0aa34cfe4262b2d3%2Fjobs-job-photo-2.jpg,"27,200","$56,310",$27,"$1,056",Master's,https://money.usnews.com/careers/best-jobs/school-counselor,daytime,car,false,false,false,advanced,true,englishHistory,helpingLeastSchool,govMedStore,false,false
Nurse Midwife,82,"From assistance during childbirth to reproductive care, nurse midwives provide a variety of gynecological and family planning services. Nurse midwives can serve as primary care providers for women and infants as well.",https://www.usnews.com/dims4/USNEWS/a213dbc/2147483647/crop/550x550%2B111%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcf%2F72%2F24e169644d47b63228d1d95315fe%2F150618-jobphotonursemidwife-stock.jpg,"1,000","$103,770",$50,"$1,946",Master's,https://money.usnews.com/careers/best-jobs/nurse-midwife,varies,boatVacation,false,true,false,advanced,true,techShop,jobLike,differentOutdoors,false,true
Phlebotomist,83,"Phlebotomists work in labs, doctors’ offices and blood donor centers where they draw blood, ensuring it’s done properly.",https://www.usnews.com/dims4/USNEWS/c0a100f/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F94%2F4450f5c2b25babbd3dbb29e7d67e40%2Fjobs-job-photo-120.jpg,"29,500","$34,480",$17,$647,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/phlebotomist,varies,car,true,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,differentOutdoors,false,true
Paralegal,83,"A lawyer’s workload is rarely small, which is where paralegals come in. These professionals support lawyers by maintaining and organizing legal files, doing research and drafting documents.",https://www.usnews.com/dims4/USNEWS/3d6f339/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2F77656af7f5b55574e26d7c1d490c89%2Fjobs-job-photo-14.jpg,"39,000","$50,940",$24,$955,Associate's,https://money.usnews.com/careers/best-jobs/paralegal,daytime,car,true,false,false,twoYearsOrFewer,false,englishHistory,helpingLeastSchool,office,false,false
Loan Officer,85,"From car loans to mortgages to business loans, loans are an inevitable part of the daily lives of Americans. A loan officer is a major player in the loan application and approval process. These officers evaluate, authorize or recommend loan application approval for individuals and businesses.",https://www.usnews.com/dims4/USNEWS/ef386b3/2147483647/crop/200x200%2B88%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4d%2Fb03b21ac64061bd8acf7ce31f65444%2Fjobs-job-photo-55.jpg,"24,300","$63,040",$30,"$1,182",Bachelor's,https://money.usnews.com/careers/best-jobs/loan-officer,daytime,car,false,false,false,bachelors,true,englishHistory,helpingLeastSchool,office,false,false
Clinical Social Worker,86,"Clinical social workers work with patients to diagnose and treat mental, behavioral and emotional disorders through individual, group and couples therapy.",https://www.usnews.com/dims4/USNEWS/4e1d8ef/2147483647/crop/283x283%2B42%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbd%2Fa94d9d62b800bad160577b8983523f%2Fjobs-job-photo-90.jpg,"30,600","$56,200",$27,"$1,054",Master's,https://money.usnews.com/careers/best-jobs/clinical-social-worker,varies,car,false,true,false,advanced,true,englishHistory,helpingLeastSchool,office,false,false
Compliance Officer,87,"Employment in this job spans across many industries, but generally the duties are the same: These performance auditors ensure ethics are practiced, laws are followed and regulations are met.",https://www.usnews.com/dims4/USNEWS/6e1774d/2147483647/crop/332x332%2B57%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F32%2Ffe3216009bdb60541322134c4e6538%2Fjobs-job-photo-29.jpg,"18,600","$68,860",$33,"$1,291",Bachelor's,https://money.usnews.com/careers/best-jobs/compliance-officer,daytime,car,false,false,false,bachelors,false,englishHistory,jobLike,office,false,false
Dietitian and Nutritionist,88,"Dietitians and nutritionists help clients with almost every aspect of their diet, assisting with food choice, meal plans, lifestyle and nutritional goals.",https://www.usnews.com/dims4/USNEWS/4ee132e/2147483647/crop/278x278%2B81%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2F32a20f11e5ba365c9420a9bf673aff%2Fjobs-job-photo-122.jpg,"8,000","$60,370",$29,"$1,132",Bachelor's,https://money.usnews.com/careers/best-jobs/dietitian-and-nutritionist,daytime,car,false,true,false,bachelors,true,mathScience,jobLike,office,true,false
Ophthalmic Medical Technician,89,Ophthalmic medical technicians often train on the job to perform the first part of a patient’s eye examination.,https://www.usnews.com/dims4/USNEWS/359903f/2147483647/crop/3168x3168%2B1583%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F24%2F2f%2F169701324301a041d9b32e60ffad%2Fophthalmic-medical-technician.jpg,"8,900","$36,530",$18,$685,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/ophthalmic-medical-technician,varies,car,true,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,govMedStore,false,true
Clinical Laboratory Technician,90,"While you may not meet a clinical laboratory technician at the hospital or doctor’s office, these medical professionals play a major role in your medical care. Physicians use the results of the tests and the analysis that clinical laboratory technicians conduct to diagnose patients.",https://www.usnews.com/dims4/USNEWS/834316f/2147483647/crop/333x333%2B106%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F90%2F6b25148437113e360ef0bf93fe3d6d%2Fjobs-job-photo-48.jpg,"35,100","$52,330",$25,$981,Bachelor's,https://money.usnews.com/careers/best-jobs/clinical-laboratory-technician,varies,car,true,true,false,bachelors,false,mathScience,helpingLeastSchool,govMedStore,false,false
Licensed Practical and Licensed Vocational Nurse,91,"Basic medical care is essential, and licensed practical and licensed vocational nurses provide this care under the guidance of registered nurses and doctors. Duties include monitoring patients’ health, offering basic patient care and comfort, discussing the care provided with patients, and reporting patients’ health status and concerns to the appropriate nurses and doctors.",https://www.usnews.com/dims4/USNEWS/799b3a9/2147483647/crop/283x283%2B0%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F87%2Feef723e491be4e816b76e9d8e28406%2Fjobs-job-photo-125.jpg,"78,100","$46,240",$22,$867,Postsecondary non-degree,https://money.usnews.com/careers/best-jobs/licensed-practical-and-licensed-vocational-nurse,daytime,car,false,true,false,twoYearsOrFewer,true,techShop,helpingLeastSchool,differentOutdoors,false,true
